day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,0,0
2,56,42,0,614,200,0
3,0,58,2,614,200,100
4,0,43,43,614,200,2250
5,0,46,46,614,200,4550
6,0,49,49,614,200,7000
7,0,52,52,614,200,9600
8,0,45,45,614,200,11850
9,0,49,49,614,200,14300
10,0,43,43,614,200,16450
11,0,52,52,614,200,19050
12,192,52,0,998,200,19050
13,146,46,0,1290,200,19050
14,92,54,0,1474,200,19050
15,52,40,0,1578,400,19050
16,7,45,0,1592,400,19050
17,0,46,39,1592,400,21000
18,0,51,51,1592,400,23550
19,0,64,64,1592,400,26750
20,0,52,52,1592,400,29350
21,0,38,38,1592,400,31250
22,0,33,33,1592,400,32900
23,200,48,0,1992,400,32900
24,142,58,0,2276,400,32900
25,97,45,0,2470,400,32900
26,56,41,0,2582,600,32900
27,2,54,0,2586,600,32900
28,0,56,54,2586,600,35600
29,0,47,47,2586,600,37950
30,0,59,59,2586,600,40900
31,198,46,0,2982,600,40900
32,152,46,0,3286,600,40900
33,97,55,0,3480,600,40900
34,37,60,0,3554,800,40900
35,0,40,3,3554,800,41050
36,0,56,56,3554,800,43850
37,0,56,56,3554,800,46650
38,0,50,50,3554,800,49150
39,0,46,46,3554,800,51450
40,0,61,61,3554,800,54500
41,0,48,48,3554,800,56900
42,219,44,0,3992,800,56900
43,174,45,0,4340,800,56900
44,111,63,0,4562,800,56900
45,58,53,0,4678,1000,56900
46,0,60,2,4678,1000,57000
47,0,46,46,4678,1000,59300
48,0,44,44,4678,1000,61500
49,0,48,48,4678,1000,63900
50,202,40,0,5082,1000,63900
51,137,65,0,5356,1000,63900
52,87,50,0,5530,1000,63900
53,18,69,0,5566,1200,63900
54,0,50,32,5566,1200,65500
55,0,45,45,5566,1200,67750
56,0,52,52,5566,1200,70350
57,0,34,34,5566,1200,72050
58,0,61,61,5566,1200,75100
59,0,41,41,5566,1200,77150
60,0,54,54,5566,1200,79850
61,238,44,0,6042,1200,79850
62,191,47,0,6424,1200,79850
63,138,53,0,6700,1200,79850
64,99,39,0,6898,1200,79850
65,53,46,0,7004,1400,79850
